"job_id","company_name","position","full_job_title","job_posted_date","average_yearly_salary","job_posted_date (1)"
1574285,"Netflix","Data Scientist","Data Scientist , Games [Remote]","Anywhere","680000.0","2025-05-21 06:18:18"
1335282,"Netflix","Data Scientist","Data Science Manager - Engineering","Los Gatos, CA","640000.0","2025-01-29 06:04:03"
1289958,"Netflix","Data Engineer","Data Engineer (L5)","Panama City, Panama","445000.0","2025-01-08 06:31:44"
1610938,"Netflix","Data Engineer","Data Engineer - Content Production & Promotion [Remote]","Anywhere","445000.0","2025-06-21 06:05:38"
1283788,"Netflix","Data Analyst","Analytics Engineer (L5) - Live Quality of Experience","Anywhere","445000.0","2025-01-04 10:01:54"
1598650,"Netflix","Data Analyst","Analytics Engineer - Playback Data (L5)","Anywhere","445000.0","2025-06-10 16:02:43"
1564686,"Netflix","Data Engineer","Data Engineer (L4) - Security","Los Gatos, CA","445000.0","2025-05-13 09:04:37"
1558080,"Netflix","Data Scientist","Data Scientist (L5) - Netflix Preview Club","Anywhere","445000.0","2025-05-08 07:24:56"
1578513,"Netflix","Data Engineer","Data Engineer - Commerce Product Data Engineering [Remote]","Anywhere","445000.0","2025-05-26 06:04:25"
1360095,"ByteDance","Data Engineer","Tech Lead Data Engineer","California","410000.0","2025-02-06 01:02:17"
